id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Urban Echoes,Beat Collective,hip-hop,energetic,0.88,95,0.62,0.85,0.12
12,Velvet Dreams,Soul Refrain,R&B,romantic,0.45,72,0.78,0.55,0.68
13,Desert Wind,Silver Strings,folk,nostalgic,0.38,88,0.52,0.42,0.91
14,Neon Pulse,Voltage X,electronic,mysterious,0.82,128,0.44,0.90,0.08
15,Broken Strings,The Wanderers,blues,sad,0.32,65,0.25,0.48,0.95
16,Island Breeze,Tropical Wave,reggae,peaceful,0.55,98,0.73,0.72,0.45
17,Steel Thunder,Metal Forge,metal,angry,0.95,155,0.31,0.58,0.02
18,Midnight Serenade,Classical Hearts,classical,hopeful,0.25,60,0.58,0.30,0.98
19,Garage Revival,Punk Generation,punk,rebellious,0.86,142,0.49,0.78,0.15
20,Disco Fever,Night Groove,disco,energetic,0.90,120,0.82,0.95,0.20
